,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
64138,SLB,Oceania,Solomon Islands,3/18/21,18.0,0.0,0.0,,,0.0,26.206,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,686878.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
64517,SOM,Africa,Somalia,3/18/21,9600.0,0.0,111.429,392.0,0.0,7.714,604.031,0.0,7.011,24.665,0.0,0.485,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,15893219.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
64934,ZAF,Africa,South Africa,3/18/21,1533961.0,1464.0,1187.571,51724.0,90.0,87.714,25864.018,24.684,20.024,872.115,1.517,1.479,0.99,,,,,,,,,31550.0,9556404.0,161.13,0.532,26687.0,0.45,0.044,22.5,people tested,177275.0,177275.0,177275.0,8862.0,5609.0,0.3,0.3,0.3,95.0,48.15,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
65336,OWID_SAM,,South America,3/18/21,19676311.0,115463.0,101168.571,509617.0,3287.0,2681.429,45678.154,268.045,234.861,1183.065,7.631,6.225,,,,,,,,,,,,,,,,,,,26319702.0,19482899.0,6835583.0,933843.0,853611.0,6.11,4.52,1.59,1982.0,,430759772.0,,,,,,,,,,,,,,
65770,KOR,Asia,South Korea,3/18/21,97757.0,463.0,438.714,1690.0,2.0,4.0,1906.74,9.031,8.557,32.963,0.039,0.078,1.0,,,,,,,,,,,,,32748.0,0.639,0.013,74.6,people tested,659475.0,659475.0,,18144.0,16171.0,1.29,1.29,,315.0,58.33,51269183.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
66130,SSD,Africa,South Sudan,3/18/21,9768.0,74.0,80.429,106.0,0.0,0.429,872.631,6.611,7.185,9.47,0.0,0.038,0.84,,,,,,,,,,124125.0,11.089,,660.0,0.059,0.122,8.2,tests performed,,,,,,,,,,72.22,11193729.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
66553,ESP,Europe,Spain,3/18/21,3212332.0,6216.0,4853.714,72910.0,117.0,117.857,68705.955,132.949,103.812,1559.413,2.502,2.521,0.98,1950.0,41.707,7841.0,167.705,,,,,,35523503.0,759.783,,101100.0,2.162,0.048,20.8,tests performed,5993363.0,4106550.0,1886813.0,136278.0,91514.0,12.82,8.78,4.04,1957.0,69.44,46754783.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
66981,LKA,Asia,Sri Lanka,3/18/21,89024.0,162.0,290.714,537.0,0.0,2.429,4157.426,7.565,13.576,25.078,0.0,0.113,0.9,,,,,,,,,11421.0,2309954.0,107.875,0.533,10443.0,0.488,0.028,35.9,tests performed,815585.0,815585.0,,9136.0,8005.0,3.81,3.81,,374.0,,21413250.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782
67364,SDN,Africa,Sudan,3/18/21,30989.0,0.0,43.286,1959.0,0.0,2.714,706.716,0.0,0.987,44.676,0.0,0.062,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,24.07,43849269.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
67745,SUR,South America,Suriname,3/18/21,9049.0,7.0,7.429,176.0,0.0,0.0,15425.291,11.932,12.663,300.017,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,368.0,,,,627.0,62.96,586634.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
68168,SWE,Europe,Sweden,3/18/21,738537.0,6467.0,4477.857,13236.0,8.0,17.857,73127.761,640.343,443.384,1310.59,0.792,1.768,1.23,267.0,26.438,1596.0,158.031,,,,,44584.0,,,4.415,42453.0,4.204,0.105,9.5,tests performed,,,,,19856.0,,,,1966.0,69.44,10099270.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
68586,CHE,Europe,Switzerland,3/18/21,578861.0,1750.0,1364.143,10183.0,20.0,13.286,66884.639,202.204,157.62,1176.597,2.311,1.535,1.23,,,,,,,,,41579.0,5611682.0,648.403,4.804,30878.0,3.568,0.051,19.6,tests performed,1193983.0,753598.0,440385.0,15721.0,20383.0,13.8,8.71,5.09,2355.0,60.19,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
68959,SYR,Asia,Syria,3/18/21,16925.0,149.0,95.429,1130.0,10.0,6.429,967.107,8.514,5.453,64.569,0.571,0.367,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
69398,TWN,Asia,Taiwan,3/18/21,998.0,8.0,2.857,10.0,0.0,0.0,41.903,0.336,0.12,0.42,0.0,0.0,1.09,,,,,,,,,360.0,183385.0,7.7,0.015,433.0,0.018,0.007,151.6,people tested,,,,,,,,,,25.0,23816775.0,,42.2,,8.353,,,103.957,,,,,,80.46,
69732,TJK,Asia,Tajikistan,3/18/21,13308.0,0.0,0.0,90.0,0.0,0.0,1395.313,0.0,0.0,9.436,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
70111,TZA,Africa,Tanzania,3/18/21,509.0,0.0,0.0,21.0,0.0,0.0,8.521,0.0,0.0,0.352,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
70562,THA,Asia,Thailand,3/18/21,27494.0,92.0,128.0,89.0,0.0,0.571,393.897,1.318,1.834,1.275,0.0,0.008,1.21,,,,,,,,,19697.0,3067006.0,43.94,0.282,15784.0,0.226,0.008,125.0,tests performed,,,,,5056.0,,,,72.0,47.22,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
70935,TLS,Asia,Timor,3/18/21,229.0,13.0,10.0,,,0.0,173.69,9.86,7.585,,,0.0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,81.02,1318442.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
71326,TGO,Africa,Togo,3/18/21,8582.0,110.0,103.571,102.0,4.0,1.286,1036.632,13.287,12.511,12.321,0.483,0.155,1.16,,,,,,,,,1263.0,258894.0,31.272,0.153,1166.0,0.141,0.089,11.3,tests performed,,,,,2806.0,,,,339.0,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
71707,TTO,North America,Trinidad and Tobago,3/18/21,7812.0,5.0,8.429,140.0,0.0,0.0,5582.029,3.573,6.023,100.036,0.0,0.0,1.48,,,,,,,,,213.0,103999.0,74.312,0.152,383.0,0.274,0.022,45.4,people tested,,,,,,,,,,64.81,1399491.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796
72098,TUN,Africa,Tunisia,3/18/21,243935.0,496.0,565.429,8490.0,27.0,25.286,20639.892,41.968,47.842,718.358,2.285,2.139,0.98,,,,,,,,,,,,,,,,,,,,,,964.0,,,,82.0,62.04,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
72482,TUR,Asia,Turkey,3/18/21,2950603.0,20049.0,16373.429,29777.0,81.0,69.571,34985.009,237.719,194.138,353.063,0.96,0.825,1.31,,,,,,,,,184452.0,35787480.0,424.329,2.187,156122.0,1.851,0.105,9.5,tests performed,12431482.0,7991510.0,4439972.0,289237.0,275570.0,14.74,9.48,5.26,3267.0,72.22,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
72561,TCA,North America,Turks and Caicos Islands,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,5062.0,,38718.0,37.312,,,,,,,,,,,,80.22,
72927,UGA,Africa,Uganda,3/18/21,40625.0,18.0,12.857,334.0,0.0,0.0,888.153,0.394,0.281,7.302,0.0,0.0,0.98,,,,,,,,,2741.0,912786.0,19.956,0.06,1796.0,0.039,0.007,139.7,samples tested,13027.0,13027.0,,5107.0,1764.0,0.03,0.03,,39.0,53.7,45741000.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
73319,UKR,Europe,Ukraine,3/18/21,1553659.0,15143.0,11315.286,30811.0,276.0,230.857,35525.394,346.254,258.731,704.513,6.311,5.279,1.28,,,,,,,,,,,,,39677.0,0.907,0.285,3.5,tests performed,,,,,8613.0,,,,197.0,60.19,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
73746,ARE,Asia,United Arab Emirates,3/18/21,434465.0,2101.0,2067.0,1424.0,10.0,7.857,43927.95,212.428,208.991,143.978,1.011,0.794,0.9,,,,,,,,,198328.0,34674399.0,3505.864,20.053,223695.0,22.617,0.009,108.2,tests performed,6980466.0,,,150097.0,81874.0,70.58,,,8278.0,55.56,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
74171,GBR,Europe,United Kingdom,3/18/21,4294328.0,6332.0,5659.143,126163.0,95.0,108.571,63257.929,93.274,83.362,1858.454,1.399,1.599,0.9,879.0,12.948,6133.0,90.343,,,,,1437257.0,109160007.0,1607.99,21.172,1343727.0,19.794,0.004,237.4,tests performed,28287149.0,26274326.0,2012823.0,660750.0,503763.0,41.67,38.7,2.97,7421.0,78.7,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932
74604,USA,North America,United States,3/18/21,29669669.0,60523.0,54696.571,540302.0,1620.0,1228.429,89635.745,182.847,165.245,1632.319,4.894,3.711,0.97,8494.0,25.661,34037.0,102.83,,,,,1396375.0,360820904.0,1090.085,4.219,1166635.0,3.525,0.046,21.7,tests performed,115730008.0,75495716.0,40981464.0,2692381.0,2503731.0,34.6,22.57,12.25,7486.0,64.35,331002647.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
74986,URY,South America,Uruguay,3/18/21,76816.0,1678.0,1299.857,749.0,9.0,9.429,22113.425,483.055,374.197,215.619,2.591,2.714,1.3,,,,,,,,,,,,,12254.0,3.528,0.106,9.4,tests performed,265032.0,265032.0,,36471.0,13587.0,7.63,7.63,,3911.0,87.04,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
75366,UZB,Asia,Uzbekistan,3/18/21,80971.0,113.0,82.714,622.0,0.0,0.0,2419.269,3.376,2.471,18.584,0.0,0.0,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72
75506,VUT,Oceania,Vanuatu,3/18/21,3.0,0.0,0.0,,,0.0,9.767,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
75895,VAT,Europe,Vatican,3/18/21,27.0,0.0,0.0,,,0.0,33374.536,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
76276,VEN,South America,Venezuela,3/18/21,148208.0,631.0,561.571,1467.0,8.0,7.429,5211.995,22.19,19.749,51.59,0.281,0.261,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
76708,VNM,Asia,Vietnam,3/18/21,2570.0,3.0,5.286,35.0,0.0,0.0,26.403,0.031,0.054,0.36,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,27546.0,27546.0,,3492.0,3709.0,0.03,0.03,,38.0,63.43,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704
77141,OWID_WRL,,World,3/18/21,121790465.0,553546.0,459761.714,2691639.0,10528.0,8733.571,15624.581,71.015,58.983,345.312,1.351,1.12,1.11,,,,,,,,,,,,,,,,,,412085711.0,247151793.0,94899358.0,9555714.0,10628348.0,5.29,3.17,1.22,1364.0,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
77495,YEM,Asia,Yemen,3/18/21,3126.0,89.0,65.571,723.0,10.0,8.0,104.808,2.984,2.198,24.241,0.335,0.268,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,29825968.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
77872,ZMB,Africa,Zambia,3/18/21,85889.0,387.0,282.286,1175.0,5.0,3.857,4671.954,21.051,15.355,63.914,0.272,0.21,0.77,,,,,,,,,6381.0,1180598.0,64.219,0.347,4576.0,0.249,0.062,16.2,tests performed,,,,,,,,,,36.11,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584
78247,ZWE,Africa,Zimbabwe,3/18/21,36611.0,59.0,33.429,1509.0,1.0,2.429,2463.243,3.97,2.249,101.528,0.067,0.163,0.81,,,,,,,,,2484.0,412342.0,27.743,0.167,1660.0,0.112,0.02,49.7,tests performed,40002.0,40002.0,,395.0,569.0,0.27,0.27,,38.0,53.7,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
